cat_traveller_id,cat_traveller,traveller_cat,duration_id,duration_stay,duration_around,reason_id,reason_journey,adjustment_type_id,adjustment_type,frequency_id,frequency,time_period,observation_value,unit_measurement_id,unit_measurement,table
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,8,Education,10,Original,M,Monthly,2018-03,5080,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,1M,2 weeks and under 1 month,21,TOT,Total,10,Original,M,Monthly,2018-03,205660,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,5,Visiting friends/relatives,10,Original,M,Monthly,2018-03,277620,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,3,Business,10,Original,M,Monthly,2018-03,94690,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,3M,2 and under 3 months,75,TOT,Total,10,Original,M,Monthly,2018-03,17810,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,12M,6 and under 12 months,270,TOT,Total,10,Original,M,Monthly,2018-03,12090,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,7,Employment,10,Original,M,Monthly,2018-04,17270,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,1W,Under 1 week,3,TOT,Total,10,Original,M,Monthly,2018-04,156080,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,TOT,Total,10,Original,M,Monthly,2018-04,679780,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,H,Holiday,10,Original,M,Monthly,2018-04,309640,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,12M,6 and under 12 months,270,TOT,Total,10,Original,M,Monthly,2018-04,40950,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,7,Employment,10,Original,M,Monthly,2018-04,14050,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,1W,Under 1 week,3,TOT,Total,10,Original,M,Monthly,2018-04,196060,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,2W,1 and under 2 weeks,10,TOT,Total,10,Original,M,Monthly,2018-04,208390,NUM,Number,rs
6,Short-term (less than one year) Visitors arriving,Visitors arriving,TOT,Total,,8,Education,10,Original,M,Monthly,2018-04,38890,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,TOT,Total,10,Original,M,Monthly,2018-04,929040,NUM,Number,rs
5,Short-term (less than one year) Residents returning,Residents returning,TOT,Total,,H,Holiday,10,Original,M,Monthly,2018-04,534150,NUM,Number,rs
